city_id,week_start,index_score_sum,weighted_score_sum,games
atlanta,2014-02-25,0,0,6
atlanta,2014-03-04,0,0,8
atlanta,2014-03-11,0,0,6
atlanta,2014-03-18,0,0,8
atlanta,2014-03-25,0,0,8
atlanta,2014-04-01,0,0,6
atlanta,2014-04-08,0,0,10
atlanta,2014-04-15,0,0,2
atlanta,2014-10-28,0,0,4
atlanta,2014-11-04,0,0,8
atlanta,2014-11-11,0,0,6
atlanta,2014-11-18,0,0,4
atlanta,2014-11-25,0,0,8
atlanta,2014-12-02,0,0,10
atlanta,2014-12-09,0,0,8
atlanta,2014-12-16,0,0,6
atlanta,2014-12-23,0,0,6
atlanta,2014-12-30,0,0,8
atlanta,2015-01-06,0,0,6
atlanta,2015-01-13,0,0,10
atlanta,2015-01-20,0,0,6
atlanta,2015-01-27,0,0,8
atlanta,2015-02-03,0,0,8
atlanta,2015-02-10,0,0,2
atlanta,2015-02-17,0,0,4
atlanta,2015-02-24,0,0,6
atlanta,2015-03-03,0,0,8
atlanta,2015-03-10,0,0,8
atlanta,2015-03-17,0,0,6
atlanta,2015-03-24,0,0,8
atlanta,2015-03-31,0,0,4
atlanta,2015-04-07,0,0,10
atlanta,2015-04-14,0,0,2
atlanta,2015-10-27,0,0,8
atlanta,2015-11-03,0,0,10
atlanta,2015-11-10,0,0,6
atlanta,2015-11-17,0,0,6
atlanta,2015-11-24,0,0,10
atlanta,2015-12-01,0,0,4
atlanta,2015-12-08,0,0,8
atlanta,2015-12-15,0,0,8
atlanta,2015-12-22,0,0,6
atlanta,2015-12-29,0,0,4
atlanta,2016-01-05,0,0,6
